date,playTitle,authorName,originalTitle,originalAuthorName
1749-11-03,Don Quichot op de bruiloft van Kamácho; blyspel,"Langendijk, Pieter",,
1749-11-08,"Arzases, of 't Edelmoedig verraad, treurspel","Huydecoper, Balthasar",,
1749-11-10,"De getrouwde philosooph, of De beschaamde echtgenoot; blyspel","Hooff, Nicolaas Willem op den","Le philosophe marié, ou Le mary honteux de l'être. Comédie","Destouches, (ps. Philippe Néricault)"
1749-11-15,"De getrouwde philosooph, of De beschaamde echtgenoot; blyspel","Hooff, Nicolaas Willem op den","Le philosophe marié, ou Le mary honteux de l'être. Comédie","Destouches, (ps. Philippe Néricault)"
1749-11-17,"Konradyn, koning van Napels en Siciliën. Treurspel","Smids, Ludolph",,
1749-11-22,Het huwelyk van Orondates en Statira. Treurspel [by Nil Volentibus Arduum group],Nil Volentibus Arduum group,Le mariage d'Oroondate et de Statire,"Magnon, Jean"
1749-11-22,Het huwelyk van Orondates en Statira. Treurspel [by Nil Volentibus Arduum group],"Lingelbach, David",Le mariage d'Oroondate et de Statire,"Magnon, Jean"
1749-11-24,De verhinderde wraak van Cajus Martius Coriolanus. Treurspel,"Bruin, Claas",Coriolan: tragedie,"Abeille, Gaspard"
1749-11-29,De daaden van Hercules,"Strijker, Theodoor",Le fatiche d'Ercole per Deianira. Drama per musica,"Aureli, Aurelio"
1749-12-01,Brutus. Treurspel,"Haverkamp, Johannes","Le Brutus, tragédie",Voltaire
1749-12-06,Brutus. Treurspel,"Haverkamp, Johannes","Le Brutus, tragédie",Voltaire
1749-12-08,De ingebeelde zieke. Blyspél,Nil Volentibus Arduum group,"Le malade imaginaire, comédie","Molière (ps. Poquelin, Jean Baptiste)"
1749-12-13,"Cato, of De ondergang der roomsche vryheid","Angelkot jr., Hermannus","Cato, a Tragedy","Addison, Joseph"
1749-12-13,"Cato, of De ondergang der roomsche vryheid","Wolf, H. de","Cato, a Tragedy","Addison, Joseph"
1749-12-15,De dood van de graaven Egmond en Hoorne. Treurspel,"Asselijn, Thomas",,
1749-12-20,Cinna. Treurspel,Nil Volentibus Arduum group,Cinna,"Corneille, Pierre"
1749-12-22,Gysbreght van Aemstel,"Vondel, Joost van den",,
1749-12-22,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1749-12-22,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1749-12-29,Gysbreght van Aemstel,"Vondel, Joost van den",,
1749-12-29,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1749-12-29,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1750-01-05,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-01-05,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-01-05,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1750-01-10,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-01-10,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-01-10,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1750-01-12,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-01-12,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-01-12,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1750-01-17,"Scilla, treurspel","Rotgans, Lukas",,
1750-01-19,"Julius Cezar, en Kato. Treurspél","Langendijk, Pieter",,
1750-01-24,"Geta, of De broedermoort van Antoninus, treurspel","Haverkamp, Johannes","Géta, tragédie","Péchantré, Nicolas de"
1750-01-24,"Geta, of De broedermoort van Antoninus, treurspel","Lescailje, Katharina","Géta, tragédie","Péchantré, Nicolas de"
1750-01-26,Oratyn en Maskariljas of Den ontydigen Loskop,"Dullaart, Joan",L’Étourdi ou les Contretemps,"Molière (ps. Poquelin, Jean Baptiste)"
1750-01-31,De Mode,"Bernagie, Pieter",,
1750-02-02,De gekroonde na haar dood. Treurspel,"Heulen, Christiaan van",Reinar después de morir,"Vélez de Guevara, Luis"
1750-02-07,Andromaché [by L. Meijer],Nil Volentibus Arduum group,Andromaque,"Racine, Jean"
1750-02-07,Andromaché [by L. Meijer],"Meijer, Lodewijk",Andromaque,"Racine, Jean"
1750-02-09,"Jupiter en Amphitrion, of De twee gelyke Sosiaas. Blyspel","Koning, Harmanus","Amphitryon, comédie","Molière (ps. Poquelin, Jean Baptiste)"
1750-02-14,"Merope, treurspel","Feitama, Johan","La Mérope, tragédie.",Voltaire
1750-02-16,"Democritus, of de verliefde filosoof","Elvervelt, Henrik van",Démocrite,"Regnard, Jean François"
1750-02-23,Agamemnon. Treurspel,"Rijk, Frans",Agamemnon. Tragedie,"Boyer, Claude"
1750-03-02,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der",,
1750-03-07,"Polyxena, treurspel [by M. Bode]","Bode, Matthias",Polyxène,"La Fosse, Antoine de"
1750-03-09,Timon de menschenhater; blyspel,"Hooff, Nicolaas Willem op den","Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750-03-14,Timon de menschenhater; blyspel,"Hooff, Nicolaas Willem op den","Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750-03-16,Timon de menschenhater; blyspel,"Hooff, Nicolaas Willem op den","Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750-03-21,Sabinus en Eponina; treurspel,"Haverkamp, Johannes","Sabinus et Éponine, tragédie","Richer, Henri"
1750-03-23,"De malle wédding óf Gierige Geeraard, blyspél [by Nil Volentibus Arduum group]",Nil Volentibus Arduum group,"La folle gageure, ou Les divertissemens de la comtesse de Pembroc","Le Métel de Boisrobert, François"
1750-03-28,Artemines. Treurspel,"Winter-van Merken, Lucretia Wilhelmina van",,
1750-03-31,"De waarzegster, blyspel","Hoeven, Emanuel van der",La devineresse,"Corneille, Thomas"
1750-04-04,"Rhadamistus en Zenobia, treurspel","Bogaert, Abraham","Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1750-04-06,Het wederzyds huwelyks bedrog. Blyspél,"Langendijk, Pieter",,
1750-04-11,"Constantinus de Groote, Eerste Christen' Keiser. Treurspel","Bernagie, Pieter",,
1750-04-13,"Arminius, Beschermer der Duytsche Vryheid","Bernagie, Pieter",,
1750-04-18,"Orestes en Pylades, of Iphigenia in Tauris, treurspel","Bode, Matthias",Oreste et Pylade,"Lagrange Chancel, François Joseph de"
1750-04-20,"Min in't lazarus-huys, blyspel","Focquenbroch, Willem Godschalk van",Los locos de Valencia,"Lope de Vega y Carpio, Félix"
1750-04-23,"Min in't lazarus-huys, blyspel","Focquenbroch, Willem Godschalk van",Los locos de Valencia,"Lope de Vega y Carpio, Félix"
1750-04-27,"Jacoba van Beieren, gravin van Holland en Zeeland. Treurspel","Marre, Jan de",,
1750-05-04,De verduytste Cid. Bly-eindend treurspel,"Heemskerk, Johan van",Le Cid. Tragi-comedie.,"Corneille, Pierre"
1750-08-03,Manlius Capitolinus; treurspel,"Malfait (de jonge), Philip",Manlius Capitolinus; tragédie,"La Fosse, Antoine de"
1750-08-06,"Athénaïs, treurspel","Huybert van Kruiningen, Pieter Anthony de","Athénaïs, tragédie","Lagrange Chancel, François Joseph de"
1750-08-08,Eneas en Turnus; treurspel,"Rotgans, Lukas",,
1750-08-10,Het gewaande bloedverwantschap; blyspel,"Wandelaar, Jan",,
1750-08-13,"Nicomedes, treurspel","Lescailje, Katharina",Nicomède,"Corneille, Pierre"
1750-08-15,Heraklius. Treurspel [by F. Rijk],"Rijk, Frans","Heraclius, empereur d'Orient","Corneille, Pierre"
1750-08-17,Lucius Junius Brutus grondlegger der roomsche vrijheid. Treurspel.,"Bruin, Claas",,
1750-08-20,"Karel de Stoute, hartog van Bourgondie","Verhoek, Pieter",,
1750-08-22,"Antipater, of De dood van Alexander en Aristobulus. Treurspel","Heems, Abraham",,
1750-08-24,De sipier van zich zelven. Blyspel,"Geleyn, Pieter van","Le geolier de soy-mesme, ou Jodelet prince","Corneille, Thomas"
1750-08-27,"Alexander de Groote, treurspel","Bogaert, Abraham",Alexandre le Grand,"Racine, Jean"
1750-08-31,Spiegel van edelmoedige vriendschap. Treurspel,"Bruin, Claas",,
1750-09-03,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der",,
1750-09-07,De dood van de graaven Egmond en Hoorne. Treurspel,"Asselijn, Thomas",,
1750-09-10,"Childerik, treurspel","Neufville, Christina Leonora de",Childeric,"Morand, Pierre de"
1750-09-12,"Rodogune, prinsesse der Parthen [by F. Rijk]","Rijk, Frans","Rodogune, princesse des Parthes","Corneille, Pierre"
1750-09-14,"Sophonisba, treurspel","Haps, Pieter Willem van",,
1750-09-17,De doodt van Julius Cezar. Treurspel,"Clyburg, Jacob",La mort de César,"Barbier, Marie-Anne"
1750-09-19,"Geta, of De broedermoort van Antoninus, treurspel","Haverkamp, Johannes","Géta, tragédie","Péchantré, Nicolas de"
1750-09-19,"Geta, of De broedermoort van Antoninus, treurspel","Lescailje, Katharina","Géta, tragédie","Péchantré, Nicolas de"
1750-09-21,"De dood van sultan Selim, Turksen keizer; treurspel","Hoeven, Willem van der",,
1750-09-22,"Isabella princesse van Iberie, hof en landspel","Hoeven, Willem van der",A lo que obligan los celos,"Enríquez Gómez, Antonio"
1750-09-23,"De stantvastige Genoveva, ofte Herstelde onnooselheyt. Bly-eyndend-treurspel","Wouthers, Anthoon Frans","Genevieve, ou l'Innocence reconnue","d'Aure, Francois"
1750-09-24,"Don Louis de Vargas, of Edelmoedige wraek","Heynck, Dirk Pietersz",El tejedor de Segovia,"Ruiz de Alarcón y Mendoza, Juan"
1750-09-25,Den grooten Bellizarius,"Grieck, Claude de","Le Bélisaire, tragédie","Rotrou, Jean"
1750-09-26,"Farnabazes, of De edelmoedige gunsteling. Treurspél","Marcus, Rudolph","Artaxare, tragédie","La Serre, Jean Louis Ignace de"
1750-09-28,Don Quichot op de bruiloft van Kamácho; blyspel,"Langendijk, Pieter",,
1750-09-29,Verwarde hof,"Baroces, Jacob",El palacio confuso,"Lope de Vega y Carpio, Félix"
1750-09-29,Verwarde hof,"Baroces, Jacob",El palacio confuso,"Mira de Amescua, Antonio"
1750-09-29,Verwarde hof,"Fuyter, Leonard de",El palacio confuso,"Lope de Vega y Carpio, Félix"
1750-09-29,Verwarde hof,"Fuyter, Leonard de",El palacio confuso,"Mira de Amescua, Antonio"
1750-09-30,"Den grooten Tamerlan, met de doodt van Bayaset de I, Turks keizer","Serwouters, Joannes","Le grand Tamerlan et Bajazet, tragedie","Magnon, Jean"
1750-09-30,"Den grooten Tamerlan, met de doodt van Bayaset de I, Turks keizer","Serwouters, Joannes",La nueva ira de Dios y Tamerlán de Persia,"Vélez de Guevara, Luis"
1750-10-01,"Veranderlyk geval, of Stantvastige liefde","Baroces, Jacob",Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1750-10-01,"Veranderlyk geval, of Stantvastige liefde","Heynck, Dirk Pietersz",Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1750-10-03,"Arzases, of 't Edelmoedig verraad, treurspel","Huydecoper, Balthasar",,
1750-10-05,Medea [by Jan Vos],"Vos, Jan",,
1750-10-08,Medea [by Jan Vos],"Vos, Jan",,
1750-10-10,Medea [by Jan Vos],"Vos, Jan",,
1750-10-12,Medea [by Jan Vos],"Vos, Jan",,
1750-10-15,Medea [by Jan Vos],"Vos, Jan",,
1750-10-17,Medea [by Jan Vos],"Vos, Jan",,
1750-10-19,Medea [by Jan Vos],"Vos, Jan",,
1750-10-26,"Krispyn, testateur en gelegateerde, of De erfgenaam door list; blyspel","Lochem, Hermanus van",Le légataire universel,"Regnard, Jean François"
1750-11-02,"De deugdzame hoveling, treurspel","Bruin, Claas",,
1750-11-07,"Attila, koning der Hunnen. Treurspel","Elias, Michiel","Attila, Roy des Huns","Corneille, Pierre"
1750-11-09,"Democritus, of de verliefde filosoof","Elvervelt, Henrik van",Démocrite,"Regnard, Jean François"
1750-11-14,"Beleazar, treurspel","Steenwijk, Frans van",,
1750-11-16,Grooten Robbert,"Rixtel, Pieter",,
1750-11-21,"Sesostris, koning van Egipte, treurspel","Mauricius, Johan Jacob",Amasis. Tragedie,"Lagrange Chancel, François Joseph de"
1750-11-24,"Arminius, Beschermer der Duytsche Vryheid","Bernagie, Pieter",,
1750-11-28,"Achilles, treurspel","Huydecoper, Balthasar",,
1750-11-30,Timon de menschenhater; blyspel,"Hooff, Nicolaas Willem op den","Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750-12-05,"Polyxena, treurspel [by M. Bode]","Bode, Matthias",Polyxène,"La Fosse, Antoine de"
1750-12-07,De dobbelaar; blyspel [by F. Rijk],"Rijk, Frans",Le joueur,"Regnard, Jean François"
1750-12-12,"De dood van Nero, treurspel","Haverkamp, Johannes",La mort de Néron; tragédie,"Péchantré, Nicolas de"
1750-12-14,De verwaande Hóllandsche Franschman. Blyspél,"Pels, Andries",,
1750-12-14,De verwaande Hóllandsche Franschman. Blyspél,Nil Volentibus Arduum group,,
1750-12-19,"Edipus, treurspel","Huydecoper, Balthasar","Oedipe, tragedie","Corneille, Pierre"
1750-12-21,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-12-21,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-12-21,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1750-12-28,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-12-28,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-12-28,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1751-01-04,Gysbreght van Aemstel,"Vondel, Joost van den",,
1751-01-04,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1751-01-04,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1751-01-09,Gysbreght van Aemstel,"Vondel, Joost van den",,
1751-01-09,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1751-01-09,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1751-01-11,Gysbreght van Aemstel,"Vondel, Joost van den",,
1751-01-11,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1751-01-11,De bruiloft van Kloris en Roosje,"Buysero, Dirk",,
1751-01-16,De Mode,"Bernagie, Pieter",,
1751-01-16,"Krelis Louwen, of Alexander de Groote op het poëetemaal","Langendijk, Pieter",,
1751-01-18,"Aarnout en Adolf van Egmond, hertogen van Gelder. Treurspel","Bruin, Claas",,
1751-01-23,"Phocion, treurspel","Bogaert, Abraham",,
1751-01-25,Het wederzyds huwelyks bedrog. Blyspél,"Langendijk, Pieter",,
1751-01-30,Admetus en Alcestis,"Nuyts, Pieter",,
1751-02-01,De verstrooide van gedachten,,Le Distrait,"Regnard, Jean François"
1751-02-06,"Brittannicus, treurspel","Canjoncle, Johannes de","Britannicus, tragédie","Racine, Jean"
1751-02-08,De verduytste Cid. Bly-eindend treurspel,"Heemskerk, Johan van",Le Cid. Tragi-comedie.,"Corneille, Pierre"
1751-02-13,"Rhadamistus en Zenobia, treurspel","Bogaert, Abraham","Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1751-02-15,"De getrouwde philosooph, of De beschaamde echtgenoot; blyspel","Hooff, Nicolaas Willem op den","Le philosophe marié, ou Le mary honteux de l'être. Comédie","Destouches, (ps. Philippe Néricault)"
1751-02-20,"Scipio, treurspel","Zweerts, Philip","Scipion l'Africain, tragédie","Pradon, Nicolas"
1751-02-22,Don Cesar of De broederlyke minnaar; blyspel,"Angelkot jr., Hermannus","Dom Cesar d'Avalos, comédie","Corneille, Thomas"
1751-03-01,De tirannige liefde,"Krul, Jan Harmensz.",L'amour tirannique,"Scudéry, Georges de"
1751-03-08,"Hester, of de verlossinge der joden. Treurspel [by F. Rijk]","Rijk, Frans","Esther, tragédie","Racine, Jean"
1751-03-13,"Hester, of de verlossinge der joden. Treurspel [by F. Rijk]","Rijk, Frans","Esther, tragédie","Racine, Jean"
1751-03-15,"Hester, of de verlossinge der joden. Treurspel [by F. Rijk]","Rijk, Frans","Esther, tragédie","Racine, Jean"
1751-03-20,"Hester, of de verlossinge der joden. Treurspel [by F. Rijk]","Rijk, Frans","Esther, tragédie","Racine, Jean"
1751-03-22,"Hester, of de verlossinge der joden. Treurspel [by F. Rijk]","Rijk, Frans","Esther, tragédie","Racine, Jean"
1751-03-27,"Astrate, koning van Tyrus","Buysero, Dirk","Astrate, roy de Tyr","Quinault, Philippe"
1751-03-29,"De burgerlyke edelman, blyspel","Maas, Hendr. (Toneelvertaler)",Le bourgeois gentilhomme,"Molière (ps. Poquelin, Jean Baptiste)"
1751-04-01,Heraklius. Treurspel [by F. Rijk],"Rijk, Frans","Heraclius, empereur d'Orient","Corneille, Pierre"
1751-04-03,De dood van Cesar; treurspel [by Voordaagh],"Voordaagh, Jacob",La mort de César [by Voltaire],Voltaire
1751-04-05,De Amerikaan; blyspel,"Elvervelt, Henrik van",Arlequin Sauvage,"La Font, Joseph de"
1751-04-05,De Amerikaan; blyspel,"Elvervelt, Henrik van",Arlequin Sauvage,"Delisle de La Drevetière, Louis François"
1751-04-08,Cinna. Treurspel,Nil Volentibus Arduum group,Cinna,"Corneille, Pierre"
1751-04-10,"Semiramis, of De doot van Ninus. Treurspel","Zweerts, Philip",Sémiramis,"Poisson, Madeleine Angélique (dame Gabriel de Gomez )"
1751-04-13,De beklaaglyke dwang,"Vos, Isaac",La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751-04-13,De beklaaglyke dwang,"Baroces, Jacob",La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751-04-15,Sabinus en Eponina; treurspel,"Haverkamp, Johannes","Sabinus et Éponine, tragédie","Richer, Henri"
1751-04-17,Phedra en Hyppolitus [by F. Rijk],"Rijk, Frans",Phedre et Hyppolite. Tragedie,"Racine, Jean"
1751-04-19,De gekroonde na haar dood. Treurspel,"Heulen, Christiaan van",Reinar después de morir,"Vélez de Guevara, Luis"
1751-04-22,"De malle wédding óf Gierige Geeraard, blyspél [by Nil Volentibus Arduum group]",Nil Volentibus Arduum group,"La folle gageure, ou Les divertissemens de la comtesse de Pembroc","Le Métel de Boisrobert, François"
1751-04-26,Reinout in het betoverde hof; zynde het gevolg van Armida,"Pluimer, Joan",,
1751-04-29,"Karel, erfprins van Spanje. Treurspel","Bidloo, Govert",,
1751-05-03,"Atreus en Thystes, treurspel","Rijk, Frans",Atree et Thyeste,"Crébillon, Prosper Jolyot de"
1751-08-02,De dood van de graaven Egmond en Hoorne. Treurspel,"Asselijn, Thomas",,
1751-08-05,"Karel de Stoute, hartog van Bourgondie","Verhoek, Pieter",,
1751-08-07,"Scilla, treurspel","Rotgans, Lukas",,
1751-08-09,"Veranderlyk geval, of Stantvastige liefde","Baroces, Jacob",Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1751-08-09,"Veranderlyk geval, of Stantvastige liefde","Heynck, Dirk Pietersz",Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1751-08-12,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der",,
1751-08-14,"Polyxena, treurspel [by M. Bode]","Bode, Matthias",Polyxène,"La Fosse, Antoine de"
1751-08-16,Oratyn en Maskariljas of Den ontydigen Loskop,"Dullaart, Joan",L’Étourdi ou les Contretemps,"Molière (ps. Poquelin, Jean Baptiste)"
1751-08-19,Idomenéus,,Idomenée,"Crébillon, Prosper Jolyot de"
1751-08-21,"Rodogune, prinsesse der Parthen [by F. Rijk]","Rijk, Frans","Rodogune, princesse des Parthes","Corneille, Pierre"
1751-08-23,Het spoockend weeuwtje,Nil Volentibus Arduum group,l'Esprit follet,"Le Métel d'Ouville, Antoine"
1751-08-23,Het spoockend weeuwtje,Nil Volentibus Arduum group,La dama duende,"Calderón de la Barca, Pedro"
1751-08-23,Het spoockend weeuwtje,"Meijer, Lodewijk",l'Esprit follet,"Le Métel d'Ouville, Antoine"
1751-08-23,Het spoockend weeuwtje,"Meijer, Lodewijk",La dama duende,"Calderón de la Barca, Pedro"
1751-08-26,De doodt van Julius Cezar. Treurspel,"Clyburg, Jacob",La mort de César,"Barbier, Marie-Anne"
1751-08-30,De verduytste Cid. Bly-eindend treurspel,"Heemskerk, Johan van",Le Cid. Tragi-comedie.,"Corneille, Pierre"
1751-09-02,"Elektra, treurspel [by Malfait]","Malfait (de jonge), Philip",Électre,"Crébillon, Prosper Jolyot de"
1751-09-06,"Konradyn, koning van Napels en Siciliën. Treurspel","Smids, Ludolph",,
1751-09-09,"Arzases, of 't Edelmoedig verraad, treurspel","Huydecoper, Balthasar",,
1751-09-11,"Geta, of De broedermoort van Antoninus, treurspel","Haverkamp, Johannes","Géta, tragédie","Péchantré, Nicolas de"
1751-09-11,"Geta, of De broedermoort van Antoninus, treurspel","Lescailje, Katharina","Géta, tragédie","Péchantré, Nicolas de"
1751-09-13,De verwaande Hóllandsche Franschman. Blyspél,"Pels, Andries",,
1751-09-13,De verwaande Hóllandsche Franschman. Blyspél,Nil Volentibus Arduum group,,
1751-09-16,"De deugdzame hoveling, treurspel","Bruin, Claas",,
1751-09-18,"Rhadamistus en Zenobia, treurspel","Bogaert, Abraham","Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1751-09-20,"De toveryen van Armida, of het belegerde Jeruzalem, treurspel","Peys, Adriaen",,
1751-09-21,De beklaaglyke dwang,"Vos, Isaac",La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751-09-21,De beklaaglyke dwang,"Baroces, Jacob",La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751-09-22,Don Quichot op de bruiloft van Kamácho; blyspel,"Langendijk, Pieter",,
1751-09-23,"Jupiter en Amphitrion, of De twee gelyke Sosiaas. Blyspel","Koning, Harmanus","Amphitryon, comédie","Molière (ps. Poquelin, Jean Baptiste)"
1751-09-24,De verhinderde wraak van Cajus Martius Coriolanus. Treurspel,"Bruin, Claas",Coriolan: tragedie,"Abeille, Gaspard"
1751-09-25,"Sophonisba, treurspel","Haps, Pieter Willem van",,
1751-09-27,Reinout in het betoverde hof; zynde het gevolg van Armida,"Pluimer, Joan",,
1751-09-28,"De stantvastige Genoveva, ofte Herstelde onnooselheyt. Bly-eyndend-treurspel","Wouthers, Anthoon Frans","Genevieve, ou l'Innocence reconnue","d'Aure, Francois"
1751-09-29,"Spaensche heidin, a.k.a. Het leven van Konstance [by Matt. Tengnagel]","Tengnagel, Mattheus Gansneb",La gitanilla de Madrid,"Cervantes y Saavedra, Miguel de"
1751-09-30,De gekroonde na haar dood. Treurspel,"Heulen, Christiaan van",Reinar después de morir,"Vélez de Guevara, Luis"
1751-10-01,"Den grooten Tamerlan, met de doodt van Bayaset de I, Turks keizer","Serwouters, Joannes","Le grand Tamerlan et Bajazet, tragedie","Magnon, Jean"
1751-10-01,"Den grooten Tamerlan, met de doodt van Bayaset de I, Turks keizer","Serwouters, Joannes",La nueva ira de Dios y Tamerlán de Persia,"Vélez de Guevara, Luis"
1751-10-02,Agamemnon. Treurspel,"Rijk, Frans",Agamemnon. Tragedie,"Boyer, Claude"
1751-10-04,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
